,year,make,engine_size,auction_odometer_mean,craigslist_odometer_mean,odometer_change,auction_price_mean,craigslist_price_mean,price_change,years_grouped
0,1997,Acura,3.0,134622.4,167500.0,32877.600000000006,1520.0,3625.0,2105.0,1997-1999
1,1997,Bmw,1.9,120821.16666666667,152717.0,31895.83333333333,3425.0,7899.0,4474.0,1997-1999
2,1998,Acura,3.0,92018.66666666667,170000.0,77981.33333333333,2600.0,2500.0,-100.0,1997-1999
5,1999,Acura,3.2,161763.42857142858,295115.0,133351.57142857142,1789.2857142857142,2450.0,660.7142857142858,1997-1999
8,2000,Acura,3.2,159498.56818181818,219500.0,60001.43181818182,1830.6818181818182,2650.0,819.3181818181818,1997-1999
10,2000,Audi,2.8,141211.75,148270.0,7058.25,1887.5,2650.0,762.5,1997-1999
15,2001,Audi,1.8,128266.5,226000.0,97733.5,1937.5,1450.0,-487.5,2000-2002
17,2001,Audi,2.8,122615.78571428571,123648.0,1032.2142857142899,1728.5714285714287,3595.0,1866.4285714285713,2000-2002
23,2002,Acura,3.2,154940.84375,212398.33333333334,57457.48958333334,2421.875,3066.6666666666665,644.7916666666665,2000-2002
25,2002,Audi,2.7,113234.54545454546,150030.0,36795.454545454544,2704.5454545454545,3500.0,795.4545454545455,2000-2002
26,2002,Bmw,2.5,63477.833333333336,87361.0,23883.166666666664,6383.333333333333,11298.333333333334,4915.000000000001,2000-2002
28,2002,Bmw,4.4,132757.04347826086,142000.0,9242.956521739135,3630.4347826086955,3500.0,-130.4347826086955,2000-2002
30,2002,Nissan,2.5,144650.552,155000.0,10349.448000000004,2115.6,3000.0,884.4000000000001,2000-2002
31,2002,Nissan,3.5,144555.73684210525,150825.0,6269.263157894748,2375.0,3425.0,1050.0,2000-2002
33,2003,Acura,3.2,148462.4420289855,176148.76923076922,27686.327201783715,2861.5942028985505,5729.2307692307695,2867.636566332219,2000-2002
34,2003,Acura,3.5,142580.5,210520.0,67939.5,3350.0,4400.0,1050.0,2000-2002
35,2003,Audi,1.8,122289.53846153847,151189.6,28900.061538461538,3070.0,5058.0,1988.0,2000-2002
36,2003,Audi,2.7,100937.0,191500.0,90563.0,3420.0,3275.0,-145.0,2000-2002
43,2003,Nissan,3.5,159299.0625,178800.2,19501.13750000001,2679.1666666666665,2908.8,229.63333333333367,2000-2002
44,2003,Subaru,2.5,157884.66666666666,188430.5,30545.833333333343,1700.0,4405.833333333333,2705.833333333333,2000-2002
48,2004,Acura,3.2,149180.46710526315,188342.25,39161.782894736854,4710.855263157895,4422.0,-288.855263157895,2003-2005
49,2004,Acura,3.5,131178.53846153847,146400.0,15221.461538461532,4107.692307692308,4000.0,-107.69230769230762,2003-2005
50,2004,Audi,1.8,110739.34831460674,131558.0,20818.651685393255,3643.5393258426966,4622.25,978.7106741573034,2003-2005
52,2004,Audi,3.0,104997.86666666667,128189.66666666667,23191.800000000003,3523.3333333333335,5749.333333333333,2225.9999999999995,2003-2005
53,2004,Bmw,2.5,112124.38596491228,133932.5,21808.114035087725,5721.0526315789475,7100.0,1378.9473684210525,2003-2005
54,2004,Bmw,3.0,122633.79674796748,167792.57142857142,45158.774680603936,5550.0,5984.714285714285,434.7142857142853,2003-2005
56,2004,Nissan,1.8,123717.8051948052,150672.0,26954.1948051948,2194.155844155844,3296.25,1102.094155844156,2003-2005
57,2004,Nissan,2.5,143676.56790123458,164757.5,21080.93209876542,2525.3086419753085,2722.75,197.44135802469145,2003-2005
58,2004,Nissan,3.5,130250.34502923976,141257.83333333334,11007.488304093582,3107.748538011696,3672.5,564.7514619883041,2003-2005
61,2004,Volkswagen,1.8,109862.3870967742,136189.6,26327.21290322581,2519.3548387096776,4940.0,2420.6451612903224,2003-2005
62,2004,Volvo,2.5,132487.87037037036,169786.08333333334,37298.21296296298,3325.0,3661.5,336.5,2003-2005
63,2004,Volvo,2.9,126002.22222222222,154250.0,28247.77777777778,2577.777777777778,3650.0,1072.2222222222222,2003-2005
64,2005,Acura,3.2,134613.10659898477,176229.5,41616.39340101523,5828.680203045686,4548.75,-1279.9302030456856,2003-2005
66,2005,Audi,2.0,105186.21951219512,140375.25,35189.03048780488,4823.780487804878,4236.25,-587.5304878048782,2003-2005
67,2005,Audi,3.0,104536.0,166525.0,61989.0,5418.75,4150.0,-1268.75,2003-2005
68,2005,Audi,3.2,115272.6603773585,115390.0,117.33962264150614,5413.207547169812,5766.666666666667,353.45911949685524,2003-2005
69,2005,Bmw,2.5,104444.93103448275,110006.0,5561.068965517246,6882.758620689655,8405.714285714286,1522.9556650246313,2003-2005
71,2005,Bmw,4.4,116802.04838709677,163714.81818181818,46912.769794721404,6254.8387096774195,7580.545454545455,1325.7067448680355,2003-2005
72,2005,Nissan,1.8,127382.32608695653,175000.0,47617.67391304347,2410.3260869565215,2500.0,89.67391304347848,2003-2005
75,2005,Subaru,2.5,128805.86842105263,164448.45,35642.581578947385,4667.80701754386,5298.625,630.8179824561403,2003-2005
76,2005,Volkswagen,1.8,93527.59154929577,106200.0,12672.408450704228,3456.3380281690143,2900.0,-556.3380281690143,2003-2005
78,2005,Volvo,2.4,121014.33333333333,140684.16666666666,19669.83333333333,3334.126984126984,4148.166666666667,814.0396825396829,2003-2005
79,2005,Volvo,2.5,128318.00970873787,146010.85714285713,17692.847434119263,3770.3883495145633,4945.142857142857,1174.7545076282936,2003-2005
80,2006,Audi,1.8,84680.97142857143,144561.0,59880.02857142857,6141.428571428572,5566.0,-575.4285714285716,2003-2005
81,2006,Audi,2.0,108761.84393063583,135465.4,26703.55606936416,5574.277456647399,4889.666666666667,-684.6107899807321,2003-2005
82,2006,Audi,3.2,113262.73913043478,157031.0,43768.260869565216,6864.492753623188,4173.375,-2691.117753623188,2003-2005
83,2006,Bmw,3.0,105569.97959183673,120870.28571428571,15300.30612244898,7867.755102040816,7970.107142857143,102.35204081632673,2003-2005
84,2006,Bmw,4.4,105345.03703703704,153620.0,48274.96296296296,8296.296296296296,5399.0,-2897.2962962962956,2003-2005
85,2006,Nissan,1.8,115397.32692307692,118398.6,3001.273076923084,3009.6153846153848,3508.8,499.1846153846154,2003-2005
86,2006,Nissan,2.5,128651.97794117648,129192.71428571429,540.7363445378141,3375.857843137255,3973.5,597.6421568627452,2003-2005
87,2006,Nissan,3.5,117976.98511904762,166832.33333333334,48855.348214285725,4039.285714285714,3898.1666666666665,-141.1190476190477,2003-2005
88,2006,Subaru,2.5,111168.11111111111,151346.125,40178.01388888889,5748.484848484848,6161.475,412.9901515151523,2003-2005
90,2006,Volkswagen,1.8,101081.0,114001.0,12920.0,3750.0,2800.0,-950.0,2003-2005
91,2006,Volkswagen,2.0,113761.67171717172,119701.57142857143,5939.8997113997175,3419.4444444444443,4570.0,1150.5555555555557,2003-2005
92,2006,Volkswagen,2.5,107432.52727272727,143969.0,36536.47272727273,3633.6363636363635,2200.0,-1433.6363636363635,2003-2005
93,2006,Volkswagen,3.6,124697.42857142857,157800.0,33102.571428571435,4089.9285714285716,1450.0,-2639.9285714285716,2003-2005
94,2006,Volvo,2.4,107425.30158730158,151889.0,44463.69841269842,4130.952380952381,4495.0,364.04761904761926,2003-2005
95,2006,Volvo,2.5,108108.23595505618,161896.5294117647,53788.29345670852,4503.3707865168535,4638.882352941177,135.51156642432306,2003-2005
96,2007,Audi,2.0,97854.52542372882,137249.44444444444,39394.91902071562,6518.0084745762715,5964.666666666667,-553.3418079096045,2006-2008
97,2007,Audi,3.2,93950.35,151675.0,57724.649999999994,9037.5,6187.25,-2850.25,2006-2008
98,2007,Audi,3.6,98190.7536231884,136333.33333333334,38142.57971014494,13015.217391304348,8800.0,-4215.217391304348,2006-2008
99,2007,Audi,4.2,105930.4074074074,172000.0,66069.5925925926,11714.814814814816,6900.0,-4814.814814814816,2006-2008
100,2007,Bmw,3.0,95224.98091603053,108164.8947368421,12939.913820811576,10911.641221374046,7659.736842105263,-3251.9043792687826,2006-2008
103,2007,Nissan,2.0,106563.32989690722,119697.6,13134.270103092786,4292.783505154639,4249.0,-43.78350515463899,2006-2008
104,2007,Nissan,2.5,118167.81233243967,140666.7857142857,22498.973381846037,5037.533512064343,5047.357142857143,9.823630792800031,2006-2008
106,2007,Subaru,2.5,113410.76712328767,149789.69565217392,36378.928528886245,5280.821917808219,6283.695652173913,1002.873734365694,2006-2008
107,2007,Volkswagen,2.0,104513.7734375,113240.72727272728,8726.95383522728,4913.671875,4877.181818181818,-36.49005681818198,2006-2008
108,2007,Volkswagen,2.5,99278.1,106423.5,7145.399999999994,4197.727272727273,5247.0,1049.272727272727,2006-2008
110,2007,Volvo,2.4,104601.22413793103,140697.0,36095.77586206897,4675.862068965517,4174.75,-501.1120689655172,2006-2008
111,2007,Volvo,2.5,105488.02222222222,141728.6,36240.577777777784,4728.888888888889,3979.0,-749.8888888888887,2006-2008
112,2007,Volvo,3.2,107153.49462365592,137632.5,30479.00537634408,6990.322580645161,5908.0,-1082.322580645161,2006-2008
113,2008,Audi,2.0,86144.11715481171,111135.18181818182,24991.06466337011,9286.401673640168,7798.545454545455,-1487.8562190947132,2006-2008
114,2008,Audi,3.2,88447.71428571429,120197.66666666667,31749.95238095238,11642.34693877551,7347.833333333333,-4294.513605442177,2006-2008
115,2008,Audi,3.6,93014.56,129168.5,36153.94,14843.0,8247.5,-6595.5,2006-2008
116,2008,Audi,4.2,86514.75,126730.66666666667,40215.91666666667,16382.5,9630.0,-6752.5,2006-2008
117,2008,Bmw,3.0,87061.86440677966,137904.66666666666,50842.802259887,13081.525423728814,7433.952380952381,-5647.573042776433,2006-2008
118,2008,Bmw,4.8,86166.7281553398,130564.85714285714,44398.12898751734,16137.378640776698,6285.571428571428,-9851.807212205269,2006-2008
119,2008,Nissan,1.8,98485.41605839416,150251.33333333334,51765.91727493919,4042.700729927007,4048.3333333333335,5.632603406326325,2006-2008
120,2008,Nissan,2.0,100977.02830188679,134059.6,33082.571698113214,4563.16037735849,4250.0,-313.1603773584902,2006-2008
121,2008,Nissan,2.5,98181.4375,132591.88095238095,34410.44345238095,6901.785714285715,5445.5,-1456.2857142857147,2006-2008
122,2008,Nissan,3.5,103273.68539325842,151124.57142857142,47850.886035313,6694.5692883895135,5461.714285714285,-1232.8550026752282,2006-2008
123,2008,Subaru,2.5,99457.91851851852,145446.77358490566,45988.85506638714,6825.185185185185,6597.943396226415,-227.24178895877048,2006-2008
124,2008,Subaru,3.0,110201.75,124704.0,14502.25,9356.25,7738.5,-1617.75,2006-2008
125,2008,Volvo,1.0,92008.16666666667,136563.0,44554.83333333333,6283.333333333333,5999.0,-284.33333333333303,2006-2008
126,2008,Volvo,2.4,120059.66666666667,147500.16666666666,27440.499999999985,5306.666666666667,4874.0,-432.66666666666697,2006-2008
127,2008,Volvo,2.5,96366.77272727272,160000.0,63633.22727272728,5822.727272727273,4350.0,-1472.727272727273,2006-2008
128,2008,Volvo,3.2,95547.37391304348,127325.66666666667,31778.292753623187,9030.869565217392,7187.666666666667,-1843.202898550725,2006-2008
129,2009,Audi,2.0,78336.74885844749,117649.35714285714,39312.60828440965,12145.890410958904,8296.42857142857,-3849.4618395303332,2006-2008
130,2009,Audi,3.0,83531.52631578948,119559.0,36027.47368421052,14590.78947368421,8998.333333333334,-5592.456140350876,2006-2008
131,2009,Audi,3.2,78486.16279069768,129335.66666666667,50849.50387596899,16566.279069767443,8522.5,-8043.779069767443,2006-2008
132,2009,Audi,3.6,81750.24242424243,118356.5,36606.25757575757,17910.60606060606,10997.5,-6913.10606060606,2006-2008
